Year,Month,Measure,Value
1880,Jan,min,8
1880,Feb,max,64
1880,Feb,mean,21
1880,Feb,min,-5
1880,Mar,max,72
1880,Mar,mean,25
1880,Mar,min,12
1880,Apr,max,73
1880,Apr,mean,37
1880,Apr,min,22
1880,May,max,97
1880,May,mean,53
1880,May,min,33
1880,Jun,max,93
1880,Jun,mean,58
1880,Jun,min,48
1880,Jul,max,101
1880,Jul,mean,63
1880,Jul,min,52
1880,Aug,max,96
1880,Aug,mean,60
1880,Aug,min,47
1880,Sep,max,93
1880,Sep,mean,56
1880,Sep,min,43
1880,Oct,max,80
1880,Oct,mean,42
1880,Oct,min,27
1880,Nov,max,64
1880,Nov,mean,30
1880,Nov,min,11
1880,Dec,max,50
1880,Dec,mean,19
1880,Dec,min,-4
1881,Jan,max,48
1881,Jan,mean,13
1881,Jan,min,-2
1881,Feb,max,55
1881,Feb,mean,19
1881,Feb,min,-5
1881,Mar,max,53
1881,Mar,mean,31
1881,Mar,min,24
1881,Apr,max,80
1881,Apr,mean,34
1881,Apr,min,20
1881,May,max,91
1881,May,mean,47
1881,May,min,36
1881,Jun,max,86
1881,Jun,mean,52
1881,Jun,min,44
1881,Jul,max,89
1881,Jul,mean,61
1881,Jul,min,54
1881,Aug,max,97
1881,Aug,mean,62
1881,Aug,min,53
1881,Sep,max,102
1881,Sep,mean,59
1881,Sep,min,49
1881,Oct,max,90
1881,Oct,mean,44
1881,Oct,min,28
1881,Nov,max,71
1881,Nov,mean,34
1881,Nov,min,15
1881,Dec,max,66
1881,Dec,mean,30
1881,Dec,min,10
1882,Jan,max,52
1882,Jan,mean,17
1882,Jan,min,-13
1882,Feb,max,60
1882,Feb,mean,21
1882,Feb,min,4
1882,Mar,max,61
1882,Mar,mean,27
1882,Mar,min,15
1882,Apr,max,68
1882,Apr,mean,33
1882,Apr,min,19
1882,May,max,81
1882,May,mean,41
1882,May,min,31
1882,Jun,max,94
1882,Jun,mean,56
1882,Jun,min,48
1882,Jul,max,98
1882,Jul,mean,63
1882,Jul,min,52
1882,Aug,max,92
1882,Aug,mean,61
1882,Aug,min,51
1882,Sep,max,88
1882,Sep,mean,57
1882,Sep,min,46
1882,Oct,max,83
1882,Oct,mean,48
1882,Oct,min,39
1882,Nov,max,72
1882,Nov,mean,32
1882,Nov,min,19
1882,Dec,max,54
1882,Dec,mean,23
1882,Dec,min,6
1883,Jan,max,50
1883,Jan,mean,15
1883,Jan,min,0
1883,Feb,max,60
1883,Feb,mean,19
1883,Feb,min,11
1883,Mar,max,58
1883,Mar,mean,21
1883,Mar,min,8
1883,Apr,max,74
1883,Apr,mean,36
1883,Apr,min,23
1883,May,max,88
1883,May,mean,47
1883,May,min,37
1883,Jun,max,91
1883,Jun,mean,60
1883,Jun,min,51
1883,Jul,max,96
1883,Jul,mean,61
1883,Jul,min,51
1883,Aug,max,92
1883,Aug,mean,59
1883,Aug,min,48
1883,Sep,max,79
1883,Sep,mean,51
1883,Sep,min,41
1883,Oct,max,80
1883,Oct,mean,39
1883,Oct,min,29
1883,Nov,max,69
1883,Nov,mean,34
1883,Nov,min,14
1883,Dec,max,58
1883,Dec,mean,21
1883,Dec,min,-12
1884,Jan,max,52
1884,Jan,mean,16
1884,Jan,min,0
1884,Feb,max,59
1884,Feb,mean,23
1884,Feb,min,3
1884,Mar,max,60
1884,Mar,mean,26
1884,Mar,min,4
1884,Apr,max,69
1884,Apr,mean,37
1884,Apr,min,27
1884,May,max,88
1884,May,mean,46
1884,May,min,35
1884,Jun,max,93
1884,Jun,mean,56
1884,Jun,min,42
1884,Jul,max,90
1884,Jul,mean,60
1884,Jul,min,54
1884,Aug,max,94
1884,Aug,mean,62
1884,Aug,min,51
1884,Sep,max,94
1884,Sep,mean,57
1884,Sep,min,40
1884,Oct,max,83
1884,Oct,mean,44
1884,Oct,min,31
1884,Nov,max,65
1884,Nov,mean,33
1884,Nov,min,22
1884,Dec,max,62
1884,Dec,mean,26
1884,Dec,min,-10
1885,Jan,max,60
1885,Jan,mean,18
1885,Jan,min,-2
1885,Feb,max,52
1885,Feb,mean,13
1885,Feb,min,1
1885,Mar,max,59
1885,Mar,mean,18
1885,Mar,min,3
1885,Apr,max,82
1885,Apr,mean,38
1885,Apr,min,27
1885,May,max,84
1885,May,mean,46
1885,May,min,35
1885,Jun,max,92
1885,Jun,mean,56
1885,Jun,min,45
1885,Jul,max,93
1885,Jul,mean,63
1885,Jul,min,51
1885,Aug,max,89
1885,Aug,mean,60
1885,Aug,min,47
1885,Sep,max,84
1885,Sep,mean,51
1885,Sep,min,39
1885,Oct,max,73
1885,Oct,mean,44
1885,Oct,min,33
1885,Nov,max,69
1885,Nov,mean,37
1885,Nov,min,23
1885,Dec,max,63
1885,Dec,mean,25
1885,Dec,min,12
1886,Jan,max,54
1886,Jan,mean,19
1886,Jan,min,-10
1886,Feb,max,57
1886,Feb,mean,18
1886,Feb,min,-7
1886,Mar,max,64
1886,Mar,mean,26
1886,Mar,min,-1
1886,Apr,max,84
1886,Apr,mean,40
1886,Apr,min,27
1886,May,max,85
1886,May,mean,48
1886,May,min,38
1886,Jun,max,82
1886,Jun,mean,56
1886,Jun,min,50
1886,Jul,max,95
1886,Jul,mean,63
1886,Jul,min,54
1886,Aug,max,90
1886,Aug,mean,60
1886,Aug,min,49
1886,Sep,max,85
1886,Sep,mean,55
1886,Sep,min,41
1886,Oct,max,80
1886,Oct,mean,44
1886,Oct,min,27
1886,Nov,max,66
1886,Nov,mean,36
1886,Nov,min,24
1886,Dec,max,55
1886,Dec,mean,21
1886,Dec,min,6
1887,Jan,max,56
1887,Jan,mean,16
1887,Jan,min,-5
1887,Feb,max,48
1887,Feb,mean,21
1887,Feb,min,5
1887,Mar,max,53
1887,Mar,mean,24
1887,Mar,min,10
1887,Apr,max,80
1887,Apr,mean,36
1887,Apr,min,23
1887,May,max,89
1887,May,mean,52
1887,May,min,45
1887,Jun,max,89
1887,Jun,mean,57
1887,Jun,min,48
1887,Jul,max,95
1887,Jul,mean,67
1887,Jul,min,61
1887,Aug,max,86
1887,Aug,mean,60
1887,Aug,min,52
1887,Sep,max,80
1887,Sep,mean,52
1887,Sep,min,40
1887,Oct,max,73
1887,Oct,mean,44
1887,Oct,min,27
1887,Nov,max,69
1887,Nov,mean,34
1887,Nov,min,12
1887,Dec,max,59
1887,Dec,mean,26
1887,Dec,min,5
1888,Jan,max,57
1888,Jan,mean,11
1888,Jan,min,-6
1888,Feb,max,56
1888,Feb,mean,20
1888,Feb,min,-4
1888,Mar,max,58
1888,Mar,mean,25
1888,Mar,min,10
1888,Apr,max,66
1888,Apr,mean,35
1888,Apr,min,21
1888,May,max,77
1888,May,mean,46
1888,May,min,35
1888,Jun,max,96
1888,Jun,mean,57
1888,Jun,min,49
1888,Jul,max,89
1888,Jul,mean,60
1888,Jul,min,51
1888,Aug,max,88
1888,Aug,mean,61
1888,Aug,min,52
1888,Sep,max,80
1888,Sep,mean,54
1888,Sep,min,36
1888,Oct,max,69
1888,Oct,mean,41
1888,Oct,min,34
1888,Nov,max,74
1888,Nov,mean,36
1888,Nov,min,13
1888,Dec,max,60
1888,Dec,mean,28
1888,Dec,min,5
1889,Jan,max,60
1889,Jan,mean,30
1889,Jan,min,9
1889,Feb,max,50
1889,Feb,mean,19
1889,Feb,min,-1
1889,Mar,max,64
1889,Mar,mean,32
1889,Mar,min,22
1889,Apr,max,81
1889,Apr,mean,41
1889,Apr,min,32
