Year,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1971,precipitation,1.88,5.05,3.08,2.92,3.72,1.74,2.84,1.59,1.55,2.16,6.74,2.4,
1972,precipitation,2.05,5.29,5.37,3.34,5.26,6.76,2.19,0.83,5.94,2.98,7.02,6.08,
1973,precipitation,3.12,2.13,2.2,5.65,3.76,4.68,4.83,2.78,1.95,2.71,1.74,7.2,
1974,precipitation,3.22,3.24,4.01,3.86,2.87,2.29,1.54,3.41,7.03,3.12,1.73,3.92,
1975,precipitation,5.7,3.37,2.74,2.4,1.78,2.1,2.35,5.52,5.49,4.41,5.13,4.8,
1976,precipitation,5.29,2.45,2.42,2,1.98,0.58,4.3,7.99,1.56,4.16,0.64,3.35,
1977,precipitation,4.41,2.4,4.76,4.07,3.52,2.49,2.21,2.91,4.03,4.63,2.54,6.2,
1978,precipitation,8.12,2.87,2.46,1.79,4.5,1.53,1.48,4.62,1.3,3.13,2.21,3.63,
1979,precipitation,10.55,3.46,3.03,3.19,4.24,0.86,2.36,5.02,3.61,3.14,3.29,1.42,
1980,precipitation,0.74,0.88,5.37,4.36,2.3,3.05,2.2,1.55,0.82,4.14,3.01,0.97,
1981,precipitation,0.95,6.65,0.62,3.14,1.17,1.65,3.47,1.04,2.54,3.43,4.78,6.27,
1982,precipitation,4.69,2.66,2.17,3.42,2.58,13.2,4.22,2.22,1.57,3.19,3.42,1.27,
1983,precipitation,5.03,5,9.72,6.86,2.94,1.07,1.07,3.28,1.06,3.74,8.89,4.94,
1984,precipitation,2.31,7.81,6.82,4.43,8.77,3.06,4.43,1.6,1.22,5.18,1.68,2.93,
1985,precipitation,1.12,1.83,2.29,1.62,3.36,3.94,3.51,6.67,3,1.65,6.39,1.21,
1986,precipitation,3.42,2.83,3.42,1.59,1.31,7.74,3.96,3.32,1.08,3.27,6.01,6.38,
1987,precipitation,7.28,0.72,4.27,9.46,1.75,2.62,0.82,2.93,7.29,2.73,3.49,2.12,
1988,precipitation,2.5,3.93,3.52,1.47,2.86,1.29,7.62,1.11,1.29,1.6,6.57,1.02,
1989,precipitation,0.61,2.51,3.07,3.58,3.54,2.84,5.09,5.92,4.61,5.71,4.13,0.81,
1990,precipitation,3.78,3.6,1.71,5.94,6.53,0.69,4.08,6.57,1.67,7.36,1.39,3.18,
1991,precipitation,3.24,1.58,4.33,4.84,0.92,2.89,1.95,5.27,6.32,4.27,4.06,2.58,
1992,precipitation,3.11,2.28,3.59,2.34,1.4,4.61,2.66,4.25,3.46,1.62,6.14,8.26,
1993,precipitation,2.17,4.94,7.67,4.86,1.04,1.75,1.75,1.32,4.64,3.61,2.86,6.6,
1994,precipitation,5.22,2.95,7.49,2.25,5.35,0.86,1.8,7.03,4.58,0.41,4.31,5.37,
1995,precipitation,4.33,2.57,2.2,1.4,1.82,1.55,2.06,0.82,3.6,6.42,5.13,3.2,
1996,precipitation,7.44,3.17,2.36,4.38,2.73,1.03,5.23,1.54,6.09,10.66,2.18,5.71,
1997,precipitation,2.34,1.28,4.68,3.46,2.63,1.41,0.63,3.01,1.02,1.78,5.86,2.29,
1998,precipitation,4.76,5.54,4.15,3.58,6.84,11.58,2.47,3.37,3.03,5.38,1.38,1.59,
1999,precipitation,5.69,3.51,2.52,0.83,2.7,,3.51,1.33,9.86,4.3,2.14,1.52,
2000,precipitation,2.62,2.55,3.59,5.02,2.88,6.61,5.2,2.22,2.87,2.86,4.51,4.67,
2001,precipitation,1.58,1.37,7.57,0.88,1.23,4.99,2.13,4.14,2.29,0.98,0.73,2.83,
2002,precipitation,3.14,1.81,3.52,2.61,4.48,4.77,1.42,2.13,3.39,3.47,5.03,5.3,
2003,precipitation,1.81,4.21,4,4,4.12,4.69,2.11,,2.65,6.2,2.63,5.06,
2004,precipitation,1.01,1.45,3.38,9.57,3.07,1.95,3.87,4.38,7.44,1.88,2.91,3.66,
2005,precipitation,4.45,2.7,3.89,3.17,3.98,1.46,3.37,2.88,1.78,9.41,3.71,2.87,
2006,precipitation,4.6,2.64,0.56,1.83,12.48,10.09,3.58,3.2,1.72,4.5,5.8,1.89,
2007,precipitation,2.57,2.2,4.31,6.71,3.7,2.12,5.26,0.66,1.81,2.08,2.8,5.25,
2008,precipitation,2.69,7.94,4.66,2.98,2.73,3.46,6,4.47,6.45,1.41,4.57,7.1,
2009,precipitation,3.35,1.94,2.51,4.13,2.69,3.22,6.9,3.24,3.09,5.17,3.34,3.91,
2010,precipitation,2.91,3.34,14.87,1.78,2.9,3.18,2.66,5.75,1.8,3.9,2.96,3.61,
2011,precipitation,4.57,4.57,2.1,4.03,3.23,4.76,2.04,7.74,4.4,6.77,4.21,3.97,
2012,precipitation,2.67,1,1.21,3.09,3.43,4.71,3.88,3.08,4.1,2.62,1.01,5.93,
2013,precipitation,1.08,5.26,3.32,1.37,3.22,10.5,3.61,1.84,2.21,0.61,2.72,4.62,
2014,precipitation,3.24,4.13,4.48,3.24,2.86,2.62,4.57,1.75,0.7,5.83,5.27,6.56,
2015,precipitation,3.57,3.37,3.05,2.28,1.22,5.01,2.09,2.19,3.93,1.74,2.07,4.28,
2016,precipitation,3.27,4.17,3.16,2.91,2.83,1.33,0.87,1.72,1.38,5.46,2.7,3.25,
2017,precipitation,4.25,3.22,4.18,5.73,3.45,4.85,4.03,1.58,3.73,4.14,1.8,2.49,
2018,precipitation,4.92,3.77,5.07,4.62,1.9,2.96,4.55,4.65,5.12,3.78,9.26,2.72,
2019,precipitation,3.62,3.45,2.95,6.52,3.35,5.15,5.81,3.48,2.16,4.45,3.37,6.07,
2020,precipitation,1.39,3.3,3.6,4.33,2.21,2.66,1.95,2.28,0.97,4.98,4.2,5.67,
2021,precipitation,2.02,3.05,1.89,4.44,4.92,2.57,10.07,7,7.47,5.11,1.34,2.45,
2022,precipitation,2.33,4.61,2.93,2.32,1.32,2.33,0.62,1.47,2.6,4.28,2.69,3.75,
2023,precipitation,5.23,1.36,4.29,3.1,2.25,3.44,10.43,6.46,3.75,,,,
1872,CDD base 65,,,0,1,16,175,338,265,75,2,0,0,
1873,CDD base 65,0,0,0,0,41,130,267,171,61,0,0,0,
1874,CDD base 65,0,0,0,0,19,117,259,127,64,0,0,0,
1875,CDD base 65,0,0,0,0,44,130,227,207,43,0,0,0,
1876,CDD base 65,0,0,0,0,22,177,299,187,22,0,0,0,
1877,CDD base 65,0,0,0,0,34,105,202,229,87,4,0,0,
1878,CDD base 65,0,0,0,0,10,82,284,158,86,15,0,0,
1879,CDD base 65,0,0,0,0,56,108,203,181,40,33,0,0,
1880,CDD base 65,0,0,0,0,116,177,218,213,91,0,0,0,
1881,CDD base 65,0,0,0,0,33,54,179,225,132,26,0,0,
1882,CDD base 65,0,0,0,0,5,121,278,219,79,12,0,0,
1883,CDD base 65,0,0,0,0,17,182,222,141,13,5,0,0,
1884,CDD base 65,0,0,0,0,10,162,143,167,145,11,0,0,
1885,CDD base 65,0,0,0,7,13,124,227,139,25,0,0,0,
1886,CDD base 65,0,0,0,2,15,38,203,136,60,6,0,0,
1887,CDD base 65,0,0,0,1,42,83,304,115,20,0,0,0,
1888,CDD base 65,0,0,0,0,1,100,151,178,35,0,0,0,
1889,CDD base 65,0,0,0,1,46,151,157,107,53,0,0,0,
1890,CDD base 65,0,0,0,0,3,72,211,144,44,1,0,0,
1891,CDD base 65,0,0,0,4,11,107,139,178,91,7,0,0,
1892,CDD base 65,0,0,0,0,10,175,258,193,33,2,0,0,
1893,CDD base 65,,,,,,,210,165,13,,,,
1894,CDD base 65,,,,,,,283,134,88,0,,,
1895,CDD base 65,,,0,1,,,152,198,,0,,,
1896,CDD base 65,,,0,6,49,107,235,197,38,3,0,0,
1897,CDD base 65,0,0,0,4,2,50,230,155,71,31,0,0,
1898,CDD base 65,0,0,0,0,13,103,237,260,117,20,0,0,
1899,CDD base 65,0,0,0,3,26,161,253,134,27,2,0,0,
1900,CDD base 65,0,0,0,1,18,151,284,207,96,23,0,0,
1901,CDD base 65,0,0,0,0,11,152,276,184,98,0,0,0,
1902,CDD base 65,,0,0,0,28,49,133,110,46,4,0,0,
1903,CDD base 65,0,0,0,11,53,15,217,71,98,3,0,0,
1904,CDD base 65,0,0,0,0,44,94,213,140,56,0,0,0,
1905,CDD base 65,0,0,0,0,28,105,266,165,32,12,0,0,
1906,CDD base 65,,0,0,0,22,110,176,232,84,0,0,0,
1907,CDD base 65,0,0,0,0,7,130,233,161,88,0,0,0,
1908,CDD base 65,,0,0,12,46,173,296,172,81,13,0,0,
1909,CDD base 65,0,0,0,2,10,191,212,160,31,3,0,0,
1910,CDD base 65,0,0,0,0,17,123,316,139,40,27,0,0,
1911,CDD base 65,0,0,0,8,72,79,385,155,61,0,0,0,
1912,CDD base 65,0,0,0,2,30,152,266,154,84,17,0,0,
1913,CDD base 65,0,0,0,2,1,121,282,189,54,0,0,0,
1914,CDD base 65,0,0,0,7,,119,158,183,129,24,0,0,
1915,CDD base 65,0,0,0,1,6,58,173,163,147,10,0,0,
1916,CDD base 65,0,0,0,0,10,45,250,223,83,20,0,0,
1917,CDD base 65,0,0,0,0,1,100,275,254,26,0,0,0,
1918,CDD base 65,0,0,0,0,56,60,211,190,30,16,0,0,
1919,CDD base 65,0,0,0,0,29,143,291,140,52,9,0,0,
1920,CDD base 65,0,0,0,0,8,131,242,224,63,12,0,0,
1921,CDD base 65,0,0,0,1,54,139,270,158,131,3,0,0,
1922,CDD base 65,0,0,0,0,35,149,229,183,93,27,0,0,
1923,CDD base 65,0,0,0,11,23,182,182,162,,6,0,0,
1924,CDD base 65,0,0,0,0,1,118,288,223,49,5,,0,
1925,CDD base 65,0,0,0,7,6,204,236,214,93,0,0,0,
1926,CDD base 65,0,0,0,0,6,78,197,183,34,14,0,0,
1927,CDD base 65,0,0,0,8,1,73,236,109,64,35,7,0,
1928,CDD base 65,0,0,0,2,0,89,264,280,50,31,3,0,
1929,CDD base 65,0,0,0,2,63,146,247,150,117,0,5,0,
1930,CDD base 65,0,0,0,0,59,243,251,188,165,11,0,0,
1931,CDD base 65,0,0,0,0,70,122,287,229,130,21,4,0,
1932,CDD base 65,0,0,0,0,53,117,249,289,79,28,0,0,
1933,CDD base 65,0,0,0,0,58,190,206,223,85,0,0,0,
1934,CDD base 65,0,0,0,0,36,121,258,125,41,0,0,0,
1935,CDD base 65,0,0,0,7,20,112,248,198,18,1,0,0,
1936,CDD base 65,0,0,0,4,49,,201,181,50,11,3,0,
1937,CDD base 65,0,0,0,0,27,81,265,312,69,3,0,0,
1938,CDD base 65,0,0,0,9,4,119,224,278,30,15,8,0,
1939,CDD base 65,0,0,0,,33,85,233,282,75,15,0,0,
1940,CDD base 65,0,0,0,0,1,78,222,143,63,3,0,0,
1941,CDD base 65,0,0,0,6,41,159,209,187,122,19,0,0,
1942,CDD base 65,0,0,0,8,36,138,201,206,92,4,0,0,
1943,CDD base 65,0,0,0,0,15,206,294,198,57,5,0,0,
1944,CDD base 65,0,0,0,0,69,137,280,319,92,13,0,0,
1945,CDD base 65,0,0,8,14,6,147,222,202,139,3,1,0,
1946,CDD base 65,0,0,9,0,22,153,206,129,86,30,0,0,
1947,CDD base 65,0,0,0,0,38,99,298,261,133,62,0,0,
1948,CDD base 65,0,0,0,0,2,77,304,277,101,9,1,0,
1949,CDD base 65,0,0,0,0,49,225,357,301,56,22,0,0,
1950,CDD base 65,0,0,0,0,1,143,271,193,52,20,2,0,
1951,CDD base 65,0,0,0,0,38,100,285,185,90,0,0,0,
1952,CDD base 65,0,0,0,1,3,183,395,236,110,2,0,0,
1953,CDD base 65,0,0,0,0,16,203,265,225,118,9,0,0,
1954,CDD base 65,0,0,0,5,25,115,229,176,59,59,0,0,
1955,CDD base 65,0,0,0,1,69,135,382,307,76,7,0,0,
1956,CDD base 65,0,0,0,0,16,178,230,227,63,7,0,0,
1957,CDD base 65,0,0,0,8,48,219,288,148,131,1,0,0,
1958,CDD base 65,0,0,0,0,10,62,242,238,78,12,0,0,
1959,CDD base 65,0,0,0,0,76,89,309,296,179,18,0,0,
1960,CDD base 65,0,0,0,0,9,175,260,239,71,0,0,0,
1961,CDD base 65,0,0,0,0,25,145,234,243,179,14,2,0,
1962,CDD base 65,0,0,0,4,38,142,177,175,51,3,0,0,
1963,CDD base 65,0,0,0,0,32,179,310,182,43,49,0,0,
1964,CDD base 65,0,0,0,0,48,124,223,76,55,0,0,0,
1965,CDD base 65,0,0,0,0,30,159,196,213,67,0,0,0,
1966,CDD base 65,0,0,0,0,26,185,317,202,51,2,0,0,
1967,CDD base 65,0,0,0,0,0,131,250,190,49,8,0,0,
1968,CDD base 65,0,0,0,0,3,79,325,195,51,37,0,0,
1969,CDD base 65,0,0,0,9,13,156,196,297,74,1,0,0,
1970,CDD base 65,0,0,0,0,25,118,294,273,91,9,0,0,
1971,CDD base 65,0,0,0,0,6,155,269,271,132,15,1,0,
1972,CDD base 65,0,0,0,0,26,74,279,213,79,0,0,0,
1973,CDD base 65,0,0,0,7,18,180,296,316,84,3,0,0,
1974,CDD base 65,0,0,0,10,22,81,235,226,68,1,3,0,
1975,CDD base 65,0,0,0,0,60,139,345,261,44,9,4,0,
1976,CDD base 65,0,0,0,43,25,276,251,231,61,8,0,0,
1977,CDD base 65,0,0,1,13,92,124,314,272,75,6,0,0,
1978,CDD base 65,0,0,0,0,40,122,237,221,48,0,0,0,
1979,CDD base 65,0,0,0,0,35,122,304,226,85,17,0,0,
1980,CDD base 65,0,0,0,0,18,114,347,299,137,1,0,0,
1981,CDD base 65,0,0,0,0,67,185,306,232,60,0,0,0,
1982,CDD base 65,0,0,0,0,15,67,314,192,49,10,2,0,
1983,CDD base 65,0,0,0,7,18,200,410,283,217,27,0,0,
1984,CDD base 65,0,0,0,3,31,207,312,306,62,3,0,0,
1985,CDD base 65,0,0,0,5,30,72,271,183,83,8,0,0,
1986,CDD base 65,0,0,0,0,60,105,211,190,55,10,0,0,
1987,CDD base 65,0,0,0,0,48,87,221,189,76,0,2,0,
1988,CDD base 65,0,0,0,0,31,173,287,342,59,11,0,0,
1989,CDD base 65,0,0,1,0,29,142,248,214,89,0,0,0,
1990,CDD base 65,0,0,0,10,2,116,261,268,77,34,8,0,
1991,CDD base 65,0,0,0,3,79,189,304,287,79,15,0,0,
1992,CDD base 65,0,0,0,0,30,126,165,189,83,5,0,0,
1993,CDD base 65,0,0,0,0,28,173,310,273,89,0,2,0,
1994,CDD base 65,0,0,0,1,29,221,395,241,44,1,4,0,
1995,CDD base 65,0,0,0,0,24,147,344,252,64,15,0,0,
1996,CDD base 65,0,0,0,3,30,120,222,196,63,0,1,0,
1997,CDD base 65,0,0,0,0,0,189,280,202,66,12,0,0,
1998,CDD base 65,0,0,16,2,52,59,298,240,83,1,0,0,
1999,CDD base 65,0,0,0,0,11,215,344,213,110,0,0,0,
2000,CDD base 65,0,0,0,0,15,151,167,174,71,5,0,0,
2001,CDD base 65,0,0,0,9,55,210,160,283,83,20,0,0,
2002,CDD base 65,0,0,0,8,18,133,324,330,138,21,0,0,
2003,CDD base 65,0,0,0,3,3,94,298,300,57,0,0,0,
2004,CDD base 65,0,0,0,3,24,104,198,231,72,0,0,0,
2005,CDD base 65,0,0,0,5,1,176,274,299,126,13,0,0,
2006,CDD base 65,0,0,0,0,20,158,343,218,60,4,0,0,
2007,CDD base 65,0,0,0,4,68,159,253,257,135,31,0,0,
2008,CDD base 65,0,0,0,2,13,195,318,165,95,1,0,0,
2009,CDD base 65,0,0,0,18,28,33,191,281,40,0,0,0,
2010,CDD base 65,0,0,0,3,70,186,385,278,147,13,0,0,
2011,CDD base 65,0,0,0,3,55,135,389,282,118,25,0,0,
2012,CDD base 65,0,0,9,16,34,135,329,304,72,6,0,0,
2013,CDD base 65,0,0,0,0,38,171,383,229,82,16,1,0,
2014,CDD base 65,0,0,0,1,21,138,291,188,120,10,0,0,
2015,CDD base 65,0,0,0,0,61,97,285,307,167,1,3,0,
2016,CDD base 65,0,0,0,3,42,129,358,362,128,13,0,0,
2017,CDD base 65,0,0,0,19,41,191,250,228,111,40,0,0,
2018,CDD base 65,0,0,0,0,73,141,352,391,153,22,0,0,
2019,CDD base 65,0,0,0,8,21,126,433,290,126,9,0,0,
2020,CDD base 65,0,0,0,0,34,174,328,291,94,3,0,0,
2021,CDD base 65,0,0,0,0,64,290,246,376,156,14,0,0,
2022,CDD base 65,0,0,0,0,55,131,395,369,71,3,9,0,
2023,CDD base 65,0,0,0,5,39,106,332,216,136,,,,
